vm_id,complete_hours,reconstructed,difference
1219,714,714,0
122,705,705,0
1220,708,708,0
1221,710,710,0
1222,710,710,0
1223,332,332,0
1224,542,542,0
1225,714,714,0
1226,716,716,0
1227,713,713,0
1228,714,714,0
1229,716,716,0
123,709,709,0
1230,707,707,0
1231,716,716,0
1232,713,713,0
1233,716,716,0
1234,471,471,0
1235,159,159,0
1236,714,714,0
1237,713,713,0
1238,714,714,0
1239,709,709,0
124,710,710,0
1240,710,710,0
1241,709,709,0
1242,712,712,0
1243,709,709,0
1244,712,712,0
1245,713,713,0
1246,712,712,0
1247,709,709,0
1248,711,711,0
1249,712,712,0
125,706,706,0
1250,710,710,0
126,709,709,0
127,711,711,0
128,706,706,0
129,708,708,0
13,714,714,0
130,169,169,0
131,709,709,0
132,709,709,0
133,711,711,0
134,710,710,0
135,710,710,0
136,708,708,0
137,707,707,0
138,709,709,0
139,709,709,0
14,403,403,0
140,710,710,0
141,713,713,0
142,710,710,0
143,710,710,0
144,707,707,0
145,708,708,0
146,709,709,0
147,706,706,0
148,711,711,0
149,710,710,0
15,713,713,0
150,564,564,0
151,709,709,0
152,565,565,0
153,710,710,0
154,706,706,0
155,709,709,0
156,709,709,0
157,688,688,0
158,707,707,0
159,707,707,0
16,403,403,0
160,709,709,0
161,2,0,-2
162,0,0,0
163,708,708,0
164,709,709,0
165,709,709,0
166,710,710,0
167,707,707,0
168,192,192,0
169,715,715,0
17,715,715,0
170,713,713,0
171,715,715,0
172,707,707,0
173,707,707,0
174,688,688,0
175,708,708,0
176,714,714,0
177,712,712,0
178,714,714,0
179,234,234,0
18,403,403,0
180,234,234,0
181,709,709,0
182,711,711,0
183,248,248,0
184,346,346,0
185,258,258,0
186,256,256,0
187,239,239,0
188,237,237,0
189,251,251,0
19,399,399,0
190,228,228,0
191,318,318,0
192,251,251,0
193,268,268,0
194,323,323,0
195,266,266,0
196,268,268,0
197,236,236,0
198,234,234,0
199,275,275,0
2,402,402,0
20,708,708,0
200,280,280,0
201,247,247,0
202,239,239,0
203,236,236,0
204,317,317,0
205,247,247,0
206,298,298,0
207,263,263,0
208,242,242,0
209,485,485,0
21,715,715,0
210,216,216,0
211,438,438,0
212,219,219,0
213,438,438,0
214,216,216,0
215,211,211,0
216,213,213,0
217,219,219,0
218,572,572,0
219,371,371,0
22,714,714,0
220,403,403,0
221,350,350,0
222,358,358,0
223,400,400,0
224,398,398,0
225,388,388,0
226,369,369,0
227,344,344,0
228,368,368,0
229,614,614,0
23,707,707,0
230,614,614,0
231,614,614,0
232,616,616,0
233,614,614,0
234,614,614,0
235,611,611,0
236,612,612,0
237,612,612,0
238,614,614,0
239,476,476,0
24,708,708,0
240,462,462,0
241,379,379,0
242,381,381,0
243,366,366,0
244,376,376,0
245,427,427,0
246,358,358,0
247,378,378,0
248,357,357,0
249,360,360,0
25,707,707,0
250,383,383,0
251,443,443,0
252,478,478,0
253,379,379,0
254,382,382,0
255,374,374,0
256,379,379,0
257,414,414,0
258,377,377,0
259,391,391,0
26,707,707,0
260,430,430,0
261,397,397,0
262,466,466,0
263,399,399,0
264,400,400,0
265,465,465,0
266,490,490,0
267,428,428,0
268,478,478,0
269,435,435,0
27,709,709,0
270,432,432,0
271,504,504,0
272,431,431,0
273,534,534,0
274,417,417,0
275,419,419,0
276,453,453,0
277,427,427,0
278,437,437,0
279,423,423,0
28,714,714,0
280,475,475,0
281,433,433,0
282,441,441,0
283,466,466,0
284,421,421,0
285,414,414,0
286,433,433,0
287,450,450,0
288,456,456,0
289,424,424,0
29,716,716,0
290,432,432,0
291,491,491,0
292,630,630,0
293,649,649,0
294,682,682,0
295,709,709,0
296,709,709,0
297,708,708,0
298,709,709,0
299,708,708,0
3,714,714,0
30,714,714,0
300,709,709,0
301,707,707,0
302,707,707,0
303,170,170,0
304,170,170,0
305,706,706,0
306,708,708,0
307,708,708,0
308,170,170,0
309,169,169,0
31,708,708,0
310,169,169,0
311,710,710,0
312,0,0,0
313,477,477,0
314,16,0,-16
315,709,709,0
316,1,0,-1
317,714,714,0
318,467,467,0
319,710,710,0
32,709,709,0
320,714,714,0
321,715,715,0
322,712,712,0
323,715,715,0
324,714,714,0
325,714,714,0
326,716,716,0
327,715,715,0
328,715,715,0
329,708,708,0
33,710,710,0
330,713,713,0
331,472,472,0
332,715,715,0
333,715,715,0
334,706,706,0
335,709,709,0
336,334,334,0
337,708,708,0
338,540,540,0
339,708,708,0
34,706,706,0
340,709,709,0
341,708,708,0
342,708,708,0
343,709,709,0
344,709,709,0
345,707,707,0
346,710,710,0
347,714,714,0
348,707,707,0
349,708,708,0
35,708,708,0
350,709,709,0
351,708,708,0
352,708,708,0
353,714,714,0
354,715,715,0
355,91,91,0
356,707,707,0
357,711,711,0
358,715,715,0
359,91,91,0
36,711,711,0
360,713,713,0
361,677,677,0
362,707,707,0
363,710,710,0
364,234,234,0
365,540,540,0
366,711,711,0
367,709,709,0
368,710,710,0
369,707,707,0
37,716,716,0
370,705,705,0
371,707,707,0
372,707,707,0
373,708,708,0
374,708,708,0
375,710,710,0
376,710,710,0
377,710,710,0
378,710,710,0
379,709,709,0
38,714,714,0
380,709,709,0
381,707,707,0
382,708,708,0
383,707,707,0
384,708,708,0
385,708,708,0
386,709,709,0
387,715,715,0
388,715,715,0
389,703,703,0
39,714,714,0
390,714,714,0
391,708,708,0
392,708,708,0
393,710,710,0
394,708,708,0
395,707,707,0
396,708,708,0
397,708,708,0
398,705,705,0
399,707,707,0
4,399,399,0
40,710,710,0
400,709,709,0
401,706,706,0
402,709,709,0
403,706,706,0
404,706,706,0
405,709,709,0
406,709,709,0
407,706,706,0
408,709,709,0
409,707,707,0
41,255,255,0
410,707,707,0
411,710,710,0
412,709,709,0
413,709,709,0
414,708,708,0
415,708,708,0
416,710,710,0
417,708,708,0
418,708,708,0
419,706,706,0
42,708,708,0
420,710,710,0
421,709,709,0
422,709,709,0
423,708,708,0
424,708,708,0
425,709,709,0
426,709,709,0
427,709,709,0
428,709,709,0
429,711,711,0
43,712,712,0
430,708,708,0
431,708,708,0
432,707,707,0
433,707,707,0
434,710,710,0
435,710,710,0
436,708,708,0
437,709,709,0
438,710,710,0
439,709,709,0
44,715,715,0
440,708,708,0
441,709,709,0
442,709,709,0
443,710,710,0
444,709,709,0
445,709,709,0
446,708,708,0
447,708,708,0
448,711,711,0
449,708,708,0
45,715,715,0
450,708,708,0
451,708,708,0
452,708,708,0
453,711,711,0
454,707,707,0
455,708,708,0
456,709,709,0
457,707,707,0
458,708,708,0
459,710,710,0
46,716,716,0
460,708,708,0
461,710,710,0
462,710,710,0
463,708,708,0
464,708,708,0
465,709,709,0
466,706,706,0
467,706,706,0
468,705,705,0
469,709,709,0
47,714,714,0
470,707,707,0
471,711,711,0
472,708,708,0
473,707,707,0
474,706,706,0
475,710,710,0
476,709,709,0
477,709,709,0
478,709,709,0
479,710,710,0
48,666,666,0
480,707,707,0
481,708,708,0
482,707,707,0
483,709,709,0
484,709,709,0
485,708,708,0
486,709,709,0
487,707,707,0
488,709,709,0
489,709,709,0
49,668,668,0
490,707,707,0
491,707,707,0
492,708,708,0
493,708,708,0
494,707,707,0
495,709,709,0
496,709,709,0
497,709,709,0
498,707,707,0
499,707,707,0
5,400,400,0
50,712,712,0
500,708,708,0
501,709,709,0
502,709,709,0
503,707,707,0
504,710,710,0
505,710,710,0
506,709,709,0
507,709,709,0
508,709,709,0
509,709,709,0
51,713,713,0
510,706,706,0
511,709,709,0
512,710,710,0
513,706,706,0
514,708,708,0
515,709,709,0
516,708,708,0
517,710,710,0
518,710,710,0
519,709,709,0
52,667,667,0
520,710,710,0
521,711,711,0
522,710,710,0
523,709,709,0
524,709,709,0
525,710,710,0
526,709,709,0
527,710,710,0
528,708,708,0
529,708,708,0
53,334,334,0
530,709,709,0
531,708,708,0
532,706,706,0
533,711,711,0
534,714,714,0
535,712,712,0
536,683,683,0
537,565,565,0
538,703,703,0
539,711,711,0
54,714,714,0
540,714,714,0
541,708,708,0
542,234,234,0
543,91,91,0
544,708,708,0
545,708,708,0
546,709,709,0
547,705,705,0
548,707,707,0
549,708,708,0
55,712,712,0
550,708,708,0
551,709,709,0
552,47,0,-47
553,53,53,0
554,715,715,0
555,708,708,0
556,716,716,0
557,159,159,0
558,709,709,0
559,709,709,0
56,713,713,0
560,713,713,0
561,217,217,0
562,716,716,0
563,708,708,0
564,710,710,0
565,705,705,0
566,709,709,0
567,709,709,0
568,708,708,0
569,710,710,0
57,708,708,0
570,708,708,0
571,707,707,0
572,710,710,0
573,708,708,0
574,715,715,0
575,716,716,0
576,1,0,-1
577,709,709,0
578,710,710,0
579,708,708,0
58,707,707,0
580,709,709,0
581,708,708,0
582,710,710,0
583,710,710,0
584,708,708,0
585,707,707,0
586,710,710,0
587,708,708,0
588,710,710,0
589,706,706,0
59,2,0,-2
590,708,708,0
591,715,715,0
592,710,710,0
593,710,710,0
594,709,709,0
595,713,713,0
596,713,713,0
597,714,714,0
598,716,716,0
599,714,714,0
6,401,401,0
60,714,714,0
600,708,708,0
601,710,710,0
602,710,710,0
603,707,707,0
604,673,673,0
605,712,712,0
606,708,708,0
607,707,707,0
608,244,244,0
609,593,593,0
61,91,91,0
610,605,605,0
611,627,627,0
612,606,606,0
613,627,627,0
614,257,257,0
615,235,235,0
616,207,207,0
617,529,529,0
618,516,516,0
619,496,496,0
62,707,707,0
620,550,550,0
621,483,483,0
622,544,544,0
623,219,219,0
624,208,208,0
625,189,189,0
626,221,221,0
627,197,197,0
628,195,195,0
629,204,204,0
63,710,710,0
630,195,195,0
631,206,206,0
632,228,228,0
633,215,215,0
634,208,208,0
635,208,208,0
636,210,210,0
637,200,200,0
638,214,214,0
639,208,208,0
64,493,493,0
640,208,208,0
641,198,198,0
642,208,208,0
643,212,212,0
644,215,215,0
645,193,193,0
646,151,151,0
647,197,197,0
648,156,156,0
649,204,204,0
65,711,711,0
650,204,204,0
651,234,234,0
652,183,183,0
653,245,245,0
654,259,259,0
655,260,260,0
656,707,707,0
657,708,708,0
658,709,709,0
659,706,706,0
66,710,710,0
660,706,706,0
661,708,708,0
662,706,706,0
663,710,710,0
664,708,708,0
665,707,707,0
666,707,707,0
667,90,90,0
668,142,142,0
669,716,716,0
67,709,709,0
670,233,233,0
671,232,232,0
672,252,252,0
673,68,68,0
674,0,0,0
675,704,704,0
676,707,707,0
677,707,707,0
678,707,707,0
679,709,709,0
68,234,234,0
680,709,709,0
681,710,710,0
682,709,709,0
683,711,711,0
684,710,710,0
685,708,708,0
686,709,709,0
687,255,255,0
688,708,708,0
689,707,707,0
69,715,715,0
690,704,704,0
691,679,679,0
692,708,708,0
693,709,709,0
694,211,211,0
695,211,211,0
696,185,185,0
697,707,707,0
698,709,709,0
699,681,681,0
7,401,401,0
70,708,708,0
700,3,0,-3
701,679,679,0
702,682,682,0
703,709,709,0
704,708,708,0
705,684,684,0
706,709,709,0
707,715,715,0
708,712,712,0
709,715,715,0
71,709,709,0
710,712,712,0
711,712,712,0
712,715,715,0
713,713,713,0
714,714,714,0
715,715,715,0
716,715,715,0
717,714,714,0
718,716,716,0
719,713,713,0
72,234,234,0
720,716,716,0
721,704,704,0
722,708,708,0
723,714,714,0
724,716,716,0
725,715,715,0
726,712,712,0
727,715,715,0
728,708,708,0
729,707,707,0
73,91,91,0
730,709,709,0
731,234,234,0
732,709,709,0
733,709,709,0
734,716,716,0
735,707,707,0
736,709,709,0
737,708,708,0
738,710,710,0
739,710,710,0
74,711,711,0
740,710,710,0
741,710,710,0
742,711,711,0
743,706,706,0
744,708,708,0
745,710,710,0
746,710,710,0
747,710,710,0
748,710,710,0
749,710,710,0
75,707,707,0
750,709,709,0
751,710,710,0
752,419,419,0
753,0,0,0
754,712,712,0
755,709,709,0
756,1,0,-1
757,714,714,0
758,714,714,0
759,713,713,0
76,707,707,0
760,712,712,0
761,715,715,0
762,716,716,0
763,714,714,0
764,715,715,0
765,715,715,0
766,713,713,0
767,714,714,0
768,714,714,0
769,713,713,0
77,707,707,0
770,716,716,0
771,716,716,0
772,708,708,0
773,708,708,0
774,705,705,0
775,709,709,0
776,706,706,0
777,708,708,0
778,707,707,0
779,708,708,0
78,708,708,0
780,708,708,0
781,166,166,0
782,708,708,0
783,708,708,0
784,143,143,0
785,142,142,0
786,143,143,0
787,143,143,0
788,142,142,0
789,711,711,0
79,542,542,0
790,236,236,0
791,708,708,0
792,711,711,0
793,707,707,0
794,713,713,0
795,713,713,0
796,714,714,0
797,707,707,0
798,708,708,0
799,711,711,0
8,402,402,0
80,708,708,0
800,711,711,0
801,710,710,0
802,705,705,0
803,714,714,0
804,708,708,0
805,707,707,0
806,709,709,0
807,91,91,0
808,714,714,0
809,234,234,0
81,711,711,0
810,234,234,0
811,708,708,0
812,700,700,0
813,709,709,0
814,706,706,0
815,705,705,0
816,710,710,0
817,707,707,0
818,708,708,0
819,709,709,0
82,234,234,0
820,706,706,0
821,709,709,0
822,707,707,0
823,711,711,0
824,708,708,0
825,707,707,0
826,710,710,0
827,709,709,0
828,709,709,0
829,709,709,0
83,160,160,0
830,709,709,0
831,707,707,0
832,708,708,0
833,714,714,0
834,716,716,0
835,710,710,0
836,715,715,0
837,715,715,0
838,714,714,0
839,709,709,0
84,710,710,0
840,713,713,0
841,713,713,0
842,91,91,0
843,715,715,0
844,91,91,0
845,715,715,0
846,714,714,0
847,709,709,0
848,706,706,0
849,714,714,0
85,711,711,0
850,713,713,0
851,712,712,0
852,714,714,0
853,714,714,0
854,714,714,0
855,716,716,0
856,714,714,0
857,713,713,0
858,715,715,0
859,706,706,0
86,710,710,0
860,710,710,0
861,710,710,0
862,710,710,0
863,710,710,0
864,708,708,0
865,708,708,0
866,710,710,0
867,715,715,0
868,713,713,0
869,716,716,0
87,699,699,0
870,715,715,0
871,714,714,0
872,716,716,0
873,712,712,0
874,715,715,0
875,716,716,0
876,716,716,0
877,715,715,0
878,713,713,0
879,713,713,0
88,714,714,0
880,715,715,0
881,716,716,0
882,714,714,0
883,715,715,0
884,716,716,0
885,713,713,0
886,712,712,0
887,715,715,0
888,715,715,0
889,688,688,0
89,712,712,0
890,712,712,0
891,715,715,0
892,713,713,0
893,716,716,0
894,712,712,0
895,715,715,0
896,715,715,0
897,713,713,0
898,716,716,0
899,713,713,0
9,401,401,0
90,715,715,0
900,712,712,0
901,715,715,0
902,714,714,0
903,710,710,0
904,714,714,0
905,719,719,0
906,710,710,0
907,710,710,0
908,714,714,0
909,714,714,0
91,714,714,0
910,708,708,0
911,706,706,0
912,709,709,0
913,711,711,0
914,708,708,0
915,707,707,0
916,708,708,0
917,710,710,0
918,704,704,0
919,706,706,0
92,713,713,0
920,710,710,0
921,714,714,0
922,708,708,0
923,710,710,0
924,706,706,0
925,709,709,0
926,708,708,0
927,709,709,0
928,706,706,0
929,707,707,0
93,710,710,0
930,708,708,0
931,707,707,0
932,706,706,0
933,707,707,0
934,708,708,0
935,710,710,0
936,142,142,0
937,142,142,0
938,314,314,0
939,715,715,0
94,234,234,0
940,714,714,0
941,709,709,0
942,710,710,0
943,714,714,0
944,711,711,0
945,714,714,0
946,709,709,0
947,709,709,0
948,21,0,-21
949,706,706,0
95,709,709,0
950,708,708,0
951,703,703,0
952,690,690,0
953,700,700,0
954,709,709,0
955,714,714,0
956,707,707,0
957,714,714,0
958,708,708,0
959,719,719,0
96,333,333,0
960,719,719,0
961,719,719,0
962,719,719,0
963,719,719,0
964,712,712,0
965,678,678,0
966,719,719,0
967,719,719,0
968,308,308,0
969,719,719,0
97,91,91,0
970,247,247,0
971,719,719,0
972,719,719,0
973,715,715,0
974,719,719,0
975,719,719,0
976,667,667,0
977,719,719,0
978,671,671,0
979,719,719,0
98,708,708,0
980,719,719,0
981,719,719,0
982,719,719,0
983,718,718,0
984,719,719,0
985,719,719,0
986,719,719,0
987,719,719,0
988,719,719,0
989,719,719,0
99,710,710,0
990,719,719,0
991,719,719,0
992,719,719,0
993,719,719,0
994,719,719,0
995,719,719,0
996,719,719,0
997,719,719,0
998,719,719,0
999,719,719,0
